Image,Parent,Numeral,Name,radius,semi_major_axis,orbital_period,Discovery_year,Discovered_by,Notes,Ref(s)
"","Jupiter","—","S/2003 J 10","1","22,896,000","707.78 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Carme?)","[15]"
"","Jupiter","—","S/2003 J 12","0.5","21,557,700","646.64 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Ananke)","[15]"
"","Jupiter","—","S/2003 J 23","1","24,678,100","792.00 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Pasiphae)","[15]"
"","Saturn","I (1)","Mimas","198.2±0.4","185,540","0.942","1789","Herschel","Main-group moon","[15]"
"","Saturn","II (2)","Enceladus","252.1±0.2","238,040","1.370","1789","Herschel","Main-group moon","[15]"
"","Saturn","III (3)","Tethys","533.1±0.6","294,670","1.888","1684","Cassini","Main-group moon (Sidera Lodoicea)","[15]"
"","Saturn","IV (4)","Dione","561.4±0.4","377,420","2.737","1684","Cassini","Main-group moon (Sidera Lodoicea)","[15]"
"","Saturn","V (5)","Rhea","763.8±1.0","527,070","4.518","1672","Cassini","Main-group moon (Sidera Lodoicea)","[15]"
"","Saturn","VI (6)","Titan","2,576±2.0","1,221,870","15.95","1655","Huygens","Main-group moon","[15]"
"","Saturn","VII (7)","Hyperion","135","1,500,880","21.28","1848","W.Bond, G. Bond, and Lassell","Main-group moon","[15]"
"","Saturn","VIII (8)","Iapetus","736","3,560,840","79.33","1671","Cassini","Main-group moon (Sidera Lodoicea)","[15]"
"","Saturn","IX (9)","Phoebe","106.5±0.7","12,947,780","550.31 (r)","1899","Pickering","Retrograde irregular (Norse)","[15]"
"","Saturn","X (10)","Janus","89.5±1.4","151,460","0.695","1966","Dollfus; Voyager 1 (confirmed)","Inner moon (co-orbital)","[15]"
"","Saturn","XI (11)","Epimetheus","58.1±1.8","151,410","0.694","1966","Walker; Voyager 1 (confirmed)","Inner moon (co-orbital)","[15]"
"","Saturn","XII (12)","Helene","17.6±0.4","377,420","2.737","1980","Laques, Lecacheux","Main-group trojan","[15]"
"","Saturn","XIII (13)","Telesto","12.4±0.4","294,710","1.888","1980","Smith, Reitsema, Larson, Fountain (Voyager 1)","Main-group trojan","[15]"
"","Saturn","XIV (14)","Calypso","10.7±0.7","294,710","1.888","1980","Pascu, Seidelmann, Baum, Currie","Main-group trojan","[15]"
"","Saturn","XV (15)","Atlas","15.1±0.9","137,670","0.602","1980","Terrile (Voyager 1)","Inner moon (shepherd)","[15]"
"","Saturn","XVI (16)","Prometheus","43.1±2.7","139,380","0.613","1980","Collins (Voyager 1)","Inner moon (shepherd)","[15]"
"","Saturn","XVII (17)","Pandora","40.7±1.5","141,720","0.629","1980","Collins (Voyager 1)","Inner moon (shepherd)","[15]"
"","Saturn","XVIII (18)","Pan","14.1","133,580","0.575","1990","Showalter (Voyager 2)","Inner moon (shepherd)","[15]"
"","Saturn","XIX (19)","Ymir","9","23,140,400","1,315.58 (r)","2000","Gladman","Retrograde irregular (Norse)","[15]"
"","Saturn","XX (20)","Paaliaq","11","15,200,000","686.95","2000","Gladman","Prograde irregular (Inuit)","[15]"
"","Saturn","XXI (21)","Tarvos","7.5","17,983,000","926.23","2000","Gladman, Kavelaars","Prograde irregular (Gallic)","[15]"
"","Saturn","XXII (22)","Ijiraq","6","11,124,000","451.42","2000","Gladman, Kavelaars","Prograde irregular (Inuit)","[15]"
"","Saturn","XXIII (23)","Suttungr","3.5","19,459,000","1,016.67 (r)","2000","Gladman, Kavelaars","Retrograde irregular (Norse)","[15]"
